frameNumber,"TIME, ms","TDEP, 0.1 in","ETIM, s","LMVL, V","UMVL, V","CFLA,  ","OCD, ft","RCMD, V","RCPP, in","CMRT, h","RCNU,  ","DCFL,  ","DFS,  ","DZER,  ","RHMD, V","HMRT, h","RHV, V","RLSW,  ","MNU,  ","S1CY,  ","S2CY,  ","RSCU,  ","RSTS,  ","UCFL,  ","CARC, mA","CMDV, V","CMPP, in","CNU,  ","HMDV, V","HV, V","LSWI,  ","SCUR,  ","SSTA,  ","RCMP, psi","RHPP, psi","RRPP, psi","CMPR, psi","HPPR, psi","RPPV, psi","SMSC,  ","CMCU, mA","HMCU, mA","CMLP, in"
1,16677259.0,852606.0,0.0,585.0,635.0,18.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.09609985351562,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.0500030517578,0.0,0.012164304964244366,20.0,0.0,150.09609985351562,0.0,24.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,73.5,17.375,-0.908888041973114
2,16677659.0,852606.0,0.4000000059604645,585.0,635.0,18.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.09609985351562,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.0500030517578,0.0,0.012164304964244366,20.0,0.0,150.09609985351562,0.0,24.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,73.5,17.375,-0.908888041973114
3,16678059.0,852606.0,0.800000011920929,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,128.0,209.0,0.0,0.0,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,24.0,0.0,128.0,209.4499969482422,0.0,0.026567166671156883,20.0,0.0,150.87379455566406,0.0,24.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,52.0,11.625,-0.8932403326034546
4,16678459.0,852606.0,1.2000000476837158,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.09609985351562,0.0,24.0,24.0,27.0,23.0,0.0,128.0,209.16250610351562,0.0,0.012164304964244366,20.0,0.0,150.09609985351562,0.0,23.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,49.0,11.25,-0.908888041973114
5,16678859.0,852606.0,1.600000023841858,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.09609985351562,0.0,24.0,24.0,27.0,23.0,0.0,128.0,209.16250610351562,0.0,0.012164304964244366,20.0,0.0,150.09609985351562,0.0,23.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,49.0,11.25,-0.908888041973114
6,16679259.0,852606.0,2.0,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,23.0,0.0,128.0,210.9375,0.0,0.012164304964244366,20.0,0.0,150.87379455566406,0.0,23.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,40.5,10.5,-0.908888041973114
7,16679659.0,852606.0,2.4000000953674316,585.0,635.0,0.0,6789.0498046875,0.0,0.4571428596973419,0.6366090774536133,20.0,0.0,210.0,0.0,0.0,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,23.0,0.0,128.0,210.5500030517578,0.0,0.009969589300453663,20.0,0.0,150.87379455566406,0.0,23.0,0.0,14.695899963378906,14.695899963378906,324.2196960449219,14.695899963378906,14.695899963378906,324.2196960449219,192,41.5,10.375,-0.9112607836723328
8,16680059.0,852606.0,2.799999952316284,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.3625030517578,0.0,0.026567166671156883,20.0,0.0,150.87379455566406,0.0,24.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,40.5,10.125,-0.8932403326034546
9,16680459.0,852606.0,3.200000047683716,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.16250610351562,0.0,0.026567166671156883,20.0,0.0,150.87379455566406,0.0,24.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,42.5,10.375,-0.8932403326034546
10,16680859.0,852606.0,3.5999999046325684,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,25.0,0.0,128.0,210.5,0.0,0.012164304964244366,20.0,0.0,150.87379455566406,0.0,25.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,43.5,10.5,-0.908888041973114
11,16681259.0,852606.0,4.0,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,25.0,0.0,128.0,210.28750610351562,0.0,0.012164304964244366,20.0,0.0,150.87379455566406,0.0,25.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,45.0,10.5,-0.908888041973114
12,16681659.0,852606.0,4.400000095367432,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,25.0,0.0,128.0,210.28750610351562,0.0,0.012164304964244366,20.0,0.0,150.87379455566406,0.0,25.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,45.0,10.5,-0.908888041973114
13,16682059.0,852606.0,4.800000190734863,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,24.0,0.0,128.0,209.9875030517578,0.0,0.026567166671156883,20.0,0.0,150.87379455566406,0.0,24.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,45.0,10.5,-0.8932403326034546
14,16682459.0,852606.0,5.199999809265137,585.0,635.0,0.0,6789.0498046875,0.0,0.4714285731315613,0.6366090774536133,20.0,0.0,210.0,0.0,0.0,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,23.0,0.0,128.0,210.46249389648438,0.0,0.024303851649165154,20.0,0.0,150.87379455566406,0.0,23.0,0.0,14.695899963378906,14.695899963378906,324.2196960449219,14.695899963378906,14.695899963378906,324.2196960449219,192,48.5,11.5,-0.8957080841064453
15,16682859.0,852606.0,5.599999904632568,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,22.0,0.0,128.0,210.21249389648438,0.0,0.026567166671156883,20.0,0.0,150.87379455566406,0.0,22.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,47.5,11.125,-0.8932403326034546
16,16683259.0,852606.0,6.0,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,22.0,0.0,128.0,209.8000030517578,0.0,0.026567166671156883,20.0,0.0,150.87379455566406,0.0,22.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,49.0,11.25,-0.8932403326034546
17,16683659.0,852606.0,6.400000095367432,585.0,635.0,0.0,6789.0498046875,0.0,0.4714285731315613,0.6366090774536133,20.0,0.0,210.0,0.0,0.0,1.49014413356781,150.09609985351562,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.3874969482422,0.0,0.024303851649165154,20.0,0.0,150.09609985351562,0.0,24.0,0.0,14.695899963378906,14.695899963378906,324.2196960449219,14.695899963378906,14.695899963378906,324.2196960449219,192,50.5,11.125,-0.8957080841064453
18,16684059.0,852606.0,6.800000190734863,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.09609985351562,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.1374969482422,0.0,0.026567166671156883,20.0,0.0,150.09609985351562,0.0,24.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,49.0,11.125,-0.8932403326034546
19,16684459.0,852606.0,7.199999809265137,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.09609985351562,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.4375,0.0,0.026567166671156883,20.0,0.0,150.09609985351562,0.0,24.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,54.0,11.875,-0.8932403326034546
20,16684859.0,852606.0,7.599999904632568,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.09609985351562,0.0,24.0,24.0,27.0,26.0,0.0,128.0,210.6125030517578,0.0,0.012164304964244366,20.0,0.0,150.09609985351562,0.0,26.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,79.0,17.625,-0.908888041973114
21,16685259.0,852606.0,8.0,585.0,635.0,0.0,6789.0498046875,0.0,0.4571428596973419,0.6366090774536133,20.0,0.0,210.0,0.0,0.0,1.49014413356781,150.09609985351562,0.0,24.0,24.0,27.0,26.0,0.0,128.0,210.0625,0.0,0.009969589300453663,20.0,0.0,150.09609985351562,0.0,26.0,0.0,14.695899963378906,14.695899963378906,300.4101867675781,14.695899963378906,14.695899963378906,300.4101867675781,192,61.0,12.875,-0.9112607836723328
22,16685659.0,852606.0,8.399999618530273,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.09609985351562,0.0,24.0,24.0,27.0,25.0,0.0,128.0,210.4250030517578,0.0,0.012164304964244366,20.0,0.0,150.09609985351562,0.0,25.0,0.0,14.695899963378906,14.695899963378906,325.70068359375,14.695899963378906,14.695899963378906,325.70068359375,192,57.5,12.0,-0.908888041973114
23,16686059.0,852606.0,8.800000190734863,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.09609985351562,0.0,24.0,24.0,27.0,25.0,0.0,128.0,210.27499389648438,0.0,0.026567166671156883,20.0,0.0,150.09609985351562,0.0,25.0,0.0,14.695899963378906,14.695899963378906,301.7772216796875,14.695899963378906,14.695899963378906,301.7772216796875,192,58.5,12.25,-0.8932403326034546
24,16686459.0,852606.0,9.199999809265137,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.09609985351562,0.0,24.0,24.0,27.0,24.0,0.0,128.0,209.85000610351562,0.0,0.012164304964244366,20.0,0.0,150.09609985351562,0.0,24.0,0.0,14.695899963378906,14.695899963378906,301.7772216796875,14.695899963378906,14.695899963378906,301.7772216796875,192,57.0,12.25,-0.908888041973114
25,16686859.0,852606.0,9.600000381469727,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,0.0,209.0,0.0,0.0,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.35000610351562,0.0,0.026567166671156883,20.0,0.0,150.87379455566406,0.0,24.0,0.0,19.480588912963867,14.695899963378906,325.70068359375,19.480588912963867,14.695899963378906,325.70068359375,192,55.5,11.875,-0.8932403326034546
26,16687259.0,852606.0,10.0,585.0,635.0,0.0,6789.0498046875,0.0,0.4714285731315613,0.6366090774536133,20.0,0.0,210.0,0.0,0.0,1.49014413356781,150.09609985351562,0.0,24.0,24.0,27.0,23.0,0.0,128.0,210.1374969482422,0.0,0.024303851649165154,20.0,0.0,150.09609985351562,0.0,23.0,0.0,14.695899963378906,14.695899963378906,324.2196960449219,14.695899963378906,14.695899963378906,324.2196960449219,192,54.5,11.875,-0.8957080841064453
27,16687659.0,852606.0,10.399999618530273,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,0.0,209.0,0.0,620.550048828125,1.49014413356781,150.87379455566406,0.0,24.0,24.0,27.0,23.0,0.0,128.0,210.5749969482422,0.0,0.026567166671156883,20.0,620.550048828125,150.87379455566406,0.0,23.0,0.0,14.695899963378906,230.0069122314453,325.70068359375,14.695899963378906,230.0069122314453,325.70068359375,192,78.0,590.875,-0.8932403326034546
28,16688059.0,852606.0,10.800000190734863,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,0.0,209.0,0.0,635.3250122070312,1.4902608394622803,150.87379455566406,0.0,24.0,24.0,27.0,23.0,0.0,128.0,210.41250610351562,0.0,0.026567166671156883,20.0,635.3250122070312,150.87379455566406,0.0,23.0,0.0,14.695899963378906,1234.7916259765625,469.2413330078125,14.695899963378906,1234.7916259765625,469.2413330078125,192,56.0,591.125,-0.8932403326034546
29,16688459.0,852606.0,11.199999809265137,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,0.0,209.0,0.0,635.3250122070312,1.4902608394622803,150.87379455566406,0.0,24.0,24.0,27.0,23.0,0.0,128.0,210.41250610351562,0.0,0.026567166671156883,20.0,635.3250122070312,150.87379455566406,0.0,23.0,0.0,14.695899963378906,1234.7916259765625,469.2413330078125,14.695899963378906,1234.7916259765625,469.2413330078125,192,56.0,591.125,-0.8932403326034546
30,16688859.0,852606.0,11.600000381469727,585.0,635.0,0.0,6789.0498046875,0.0,0.4736842215061188,0.6366090774536133,20.0,0.0,209.0,0.0,620.550048828125,1.4903807640075684,150.09609985351562,0.0,24.0,24.0,27.0,23.0,0.0,128.0,210.3249969482422,0.0,0.026567166671156883,20.0,620.550048828125,150.09609985351562,0.0,23.0,0.0,14.695899963378906,2024.2652587890625,469.2413330078125,14.695899963378906,2024.2652587890625,469.2413330078125,192,26.5,588.0,-0.8932403326034546
31,16689259.0,852606.0,12.0,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,620.550048828125,1.4904977083206177,150.09609985351562,0.0,24.0,24.0,27.0,23.0,0.0,128.0,210.77499389648438,0.0,0.012164304964244366,20.0,620.550048828125,150.09609985351562,0.0,23.0,0.0,14.695899963378906,2359.193359375,1186.9447021484375,14.695899963378906,2359.193359375,1186.9447021484375,192,-14.0,582.25,-0.908888041973114
32,16689659.0,852606.0,12.399999618530273,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,620.550048828125,1.4906177520751953,150.09609985351562,0.0,24.0,24.0,27.0,23.0,0.0,128.0,210.5500030517578,0.0,0.012164304964244366,20.0,620.550048828125,150.09609985351562,0.0,23.0,0.0,14.695899963378906,2646.274658203125,2598.427978515625,14.695899963378906,2646.274658203125,2598.427978515625,192,-33.5,580.125,-0.908888041973114
33,16690059.0,852606.0,12.800000190734863,585.0,635.0,0.0,6789.0498046875,0.0,0.4571428596973419,0.6366090774536133,20.0,0.0,210.0,0.0,615.625,1.490737795829773,150.09609985351562,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.1999969482422,0.0,0.009969589300453663,20.0,615.625,150.09609985351562,0.0,24.0,0.0,14.695899963378906,3252.791015625,3157.552978515625,14.695899963378906,3252.791015625,3157.552978515625,192,-47.5,579.75,-0.9112607836723328
34,16690459.0,852606.0,13.199999809265137,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,615.625,1.4908543825149536,150.09609985351562,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.625,0.0,0.012164304964244366,20.0,615.625,150.09609985351562,0.0,24.0,0.0,14.695899963378906,3985.987548828125,3794.60009765625,14.695899963378906,3985.987548828125,3794.60009765625,192,-51.5,581.875,-0.908888041973114
35,16690859.0,852606.0,13.600000381469727,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,615.625,1.4909746646881104,150.09609985351562,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.4250030517578,0.0,0.012164304964244366,20.0,615.625,150.09609985351562,0.0,24.0,0.0,14.695899963378906,4153.45166015625,4009.9111328125,14.695899963378906,4153.45166015625,4009.9111328125,192,-43.0,584.25,-0.908888041973114
36,16691259.0,852606.0,14.0,585.0,635.0,0.0,6789.0498046875,0.0,0.4571428596973419,0.6366090774536133,20.0,0.0,210.0,0.0,610.7000122070312,1.4910913705825806,150.09609985351562,0.0,24.0,24.0,27.0,25.0,0.0,128.0,210.6875,0.0,0.009969589300453663,20.0,610.7000122070312,150.09609985351562,0.0,25.0,0.0,14.695899963378906,4133.74365234375,3990.88623046875,14.695899963378906,4133.74365234375,3990.88623046875,192,-32.5,586.125,-0.9112607836723328
37,16691659.0,852606.0,14.399999618530273,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,615.625,1.4912114143371582,150.09609985351562,0.0,24.0,24.0,27.0,25.0,0.0,128.0,210.6125030517578,0.0,0.012164304964244366,20.0,615.625,150.09609985351562,0.0,25.0,0.0,14.695899963378906,4153.45166015625,4009.9111328125,14.695899963378906,4153.45166015625,4009.9111328125,192,-20.0,588.75,-0.908888041973114
38,16692059.0,852606.0,14.800000190734863,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,610.7000122070312,1.4913280010223389,150.09609985351562,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.14999389648438,0.0,0.012164304964244366,20.0,610.7000122070312,150.09609985351562,0.0,24.0,0.0,14.695899963378906,4129.5283203125,3985.987548828125,14.695899963378906,4129.5283203125,3985.987548828125,192,-12.5,588.875,-0.908888041973114
39,16692459.0,852606.0,15.199999809265137,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,610.7000122070312,1.4914480447769165,150.09609985351562,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.66250610351562,0.0,0.012164304964244366,20.0,610.7000122070312,150.09609985351562,0.0,24.0,0.0,14.695899963378906,4129.5283203125,4009.9111328125,14.695899963378906,4129.5283203125,4009.9111328125,192,16.0,593.625,-0.908888041973114
40,16692859.0,852606.0,15.600000381469727,585.0,635.0,0.0,6789.0498046875,0.0,0.45933014154434204,0.6366090774536133,20.0,0.0,209.0,0.0,615.625,1.4915646314620972,150.09609985351562,0.0,24.0,24.0,27.0,24.0,0.0,128.0,210.53750610351562,0.0,0.012164304964244366,20.0,615.625,150.09609985351562,0.0,24.0,0.0,14.695899963378906,4129.5283203125,3985.987548828125,14.695899963378906,4129.5283203125,3985.987548828125,192,54.0,599.75,-0.908888041973114
