frameNumber,"TDEP, 0.1 in","CVEL, m/h","TENS, lbf","CS, m/h"
1,1165510.0,-131.0819091796875,2197.66650390625,131.0819091796875
2,1165500.0,-224.02801513671875,2333.0,224.02801513671875
3,1165490.0,-251.55316162109375,2337.0,251.55316162109375
4,1165480.0,-292.645751953125,2377.0,292.645751953125
5,1165470.0,-324.6120300292969,2445.0,324.6120300292969
6,1165460.0,-354.375732421875,2485.0,354.375732421875
7,1165450.0,-384.04803466796875,2474.0,384.04803466796875
8,1165440.0,-411.47998046875,2488.0,411.47998046875
9,1165430.0,-438.9118957519531,2541.0,438.9118957519531
10,1165420.0,-470.91607666015625,2591.000244140625,470.91607666015625
11,1165410.0,-498.4726257324219,2597.0,498.4726257324219
12,1165400.0,-530.41943359375,2603.0,530.41943359375
13,1165390.0,-557.9234619140625,2630.0,557.9234619140625
14,1165380.0,-585.216064453125,2675.0,585.216064453125
15,1165370.0,-585.3623657226562,2697.0,585.3623657226562
16,1165360.0,-594.3599853515625,2709.0,594.3599853515625
17,1165350.0,-603.5040283203125,2737.000244140625,603.5040283203125
18,1165340.0,-598.9320068359375,2765.0,598.9320068359375
19,1165330.0,-594.5086059570312,2780.000244140625,594.5086059570312
20,1165320.0,-596.6460571289062,2798.0,596.6460571289062
21,1165310.0,-589.9354858398438,2842.0,589.9354858398438
22,1165300.0,-594.434326171875,2865.0,594.434326171875
23,1165290.0,-592.147705078125,2855.0,592.147705078125
24,1165280.0,-589.8617553710938,2881.5,589.8617553710938
25,1165270.0,-587.57568359375,2929.000244140625,587.57568359375
26,1165260.0,-589.8617553710938,2909.0,589.8617553710938
27,1165250.0,-589.7880249023438,2930.0,589.7880249023438
28,1165240.0,-589.8617553710938,2989.0,589.8617553710938
29,1165230.0,-589.8616943359375,2989.0,589.8616943359375
30,1165220.0,-591.361572265625,3002.0,591.361572265625
31,1165210.0,-589.8372192382812,3050.666748046875,589.8372192382812
32,1165200.0,-588.3131103515625,3090.0,588.3131103515625
33,1165190.0,-589.8986206054688,3140.25,589.8986206054688
34,1165180.0,-588.903076171875,3221.599853515625,588.903076171875
35,1165170.0,-588.9326171875,3290.400146484375,588.9326171875
36,1165160.0,-588.0179443359375,3297.400146484375,588.0179443359375
37,1165150.0,-586.788818359375,3322.666748046875,586.788818359375
38,1165140.0,-584.3308715820312,3386.60009765625,584.3308715820312
39,1165130.0,-582.216796875,3414.666748046875,582.216796875
40,1165120.0,-579.5372924804688,3426.0,579.5372924804688
41,1165110.0,-576.1439208984375,3467.0,576.1439208984375
42,1165100.0,-577.64404296875,3489.666748046875,577.64404296875
43,1165090.0,-580.7166137695312,3546.000244140625,580.7166137695312
44,1165080.0,-576.0719604492188,3536.0,576.0719604492188
45,1165070.0,-578.4300537109375,3533.0,578.4300537109375
46,1165060.0,-578.4300537109375,3560.000244140625,578.4300537109375
47,1165050.0,-580.6439208984375,3564.0,580.6439208984375
48,1165040.0,-576.1441650390625,3564.0,576.1441650390625
